Details,species
"Species Involved: Sparrowhawk x1; poison bait (Pigeon Bait (Species Unknown) x3). Tested positive for: Bendiocarb","Species Involved: Sparrowhawk x1; poison bait (Pigeon Bait (Species Unknown) x3)"
"Species Involved: Red Kite x1; poison bait (Grey Partridge x1). Tested positive for: Alphachloralose","Species Involved: Red Kite x1; poison bait (Grey Partridge x1)"
"Species involved: Hobby x1",": Hobby x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose",": poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Alphachloralose",": Raven x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Aldicarb",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Aldicarb",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Raven x5; poison bait (Pheasant Bait x2). Tested positive for: Bendiocarb",": Raven x5; poison bait (Pheasant Bait x2)"
"Species Involved: Buzzard x1; poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb","Species Involved: Buzzard x1; poison bait (Pheasant Bait x1)"
"Species targeted: Birds of Prey, Raven. Species involved: poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb",": poison bait (Pheasant Bait x1)"
"Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Bendiocarb",": Raven x1"
"Species targeted: Birds of Prey, Raven. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Bendiocarb",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species targeted: Birds of Prey, Raven. Species involved: poison bait (Pheasant Bait x2). Tested positive for: Bendiocarb",": poison bait (Pheasant Bait x2)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Bendiocarb",": Buzzard x1"
"Species targeted: Birds of Prey, Corvidae. Species involved: poison bait (Meat x1). Tested positive for: Bendiocarb",": poison bait (Meat x1)"
"Species targeted: Birds of Prey, Corvidae, Raven. Species involved: poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb",": poison bait (Pheasant Bait x1)"
"Species targeted: Birds of Prey, Corvidae, Raven. Species involved: poison bait (Pheasant Bait, Pheasant Bait, Pheasant Bait x1). Tested positive for: Bendiocarb, Bendiocarb, Bendiocarb",": poison bait (Pheasant Bait, Pheasant Bait, Pheasant Bait x1)"
"Species targeted: Birds of Prey, Corvidae, Raven. Species involved: poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb",": poison bait (Pheasant Bait x1)"
"Species targeted: Birds of Prey, Raven. Species involved: poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb",": poison bait (Pheasant Bait x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Little Owl x1",": Little Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Little Owl x1",": Little Owl x1"
"Species targeted: Birds of Prey. Species involved: Mouse (Unspecified) x1, Blackbird x1, Magpie x1, Dog x1. Tested positive for: Alphachloralose, Alphachloralose, Alphachloralose, Alphachloralose, Alphachloralose",": Mouse (Unspecified) x1, Blackbird x1, Magpie x1, Dog x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Dog x3. Tested positive for: Strychnine",": Dog x3"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species targeted: Birds of Prey, Raven. Species involved: poison bait (Sheep x1). Tested positive for: Coumarin/Coumatetralyl",": poison bait (Sheep x1)"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: White-tailed Eagle x1 nest",": White-tailed Eagle x1 nest"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Diazinon/Dimpylate",": Red Kite x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran, Carbosulfan",": Red Kite x1"
"Species Involved: Buzzard x2; poison bait (Rabbit Bait x2). Tested positive for: Alphachloralose","Species Involved: Buzzard x2; poison bait (Rabbit Bait x2)"
"Species involved: Red Kite x2. Tested positive for: Alphachloralose",": Red Kite x2"
"Species involved: Buzzard x2. Tested positive for: Carbofuran",": Buzzard x2"
"Species involved: Peregrine Falcon x2. Tested positive for: Diazinon/Dimpylate",": Peregrine Falcon x2"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Peregrine Falcon x3 nest",": Peregrine Falcon x3 nest"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran, Carbosulfan",": Buzzard x1"
"Species involved: Peregrine Falcon x3",": Peregrine Falcon x3"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Golden Eagle x1. Tested positive for: Aldicarb",": Golden Eagle x1"
"Species involved: Peregrine Falcon x2 nest",": Peregrine Falcon x2 nest"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: Red Kite x1. Tested positive for: Aldicarb",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Golden Eagle x1. Tested positive for: Carbofuran",": Golden Eagle x1"
"Species Involved: Sparrowhawk x1; poison bait (Grouse Bait x1). Tested positive for: Carbofuran","Species Involved: Sparrowhawk x1; poison bait (Grouse Bait x1)"
"Species involved: Golden Eagle x1. Tested positive for: Carbofuran",": Golden Eagle x1"
"Species involved: Red Kite x1. Tested positive for: Aldicarb",": Red Kite x1"
"Species involved: White-tailed Eagle x1. Tested positive for: Carbofuran",": White-tailed Eagle x1"
"Species involved: Golden Eagle x1. Tested positive for: Carbofuran",": Golden Eagle x1"
"Species involved: Osprey x1",": Osprey x1"
"Species involved: Buzzard x2. Tested positive for: Alphachloralose",": Buzzard x2"
"Species Involved: Buzzard x4; poison bait (Pheasant Bait x1, Hare Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x4; poison bait (Pheasant Bait x1, Hare Bait x1)"
"Species Involved: Peregrine Falcon x2; poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran","Species Involved: Peregrine Falcon x2; poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Red Kite x1, Buzzard x1. Tested positive for: Carbofuran, Carbofuran",": Red Kite x1, Buzzard x1"
"Species involved: Peregrine Falcon x1. Tested positive for: Diazinon/Dimpylate",": Peregrine Falcon x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Goshawk x1. Tested positive for: Carbofuran",": Goshawk x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Bendiocarb",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Bendiocarb",": Red Kite x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species involved: Red Kite x2. Tested positive for: Carbofuran",": Red Kite x2"
"Species involved: Red Kite x1. Tested positive for: Fenthion",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Mevinphos/Phosdrin",": Red Kite x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Carrion Crow x1. Tested positive for: Carbofuran, Carbosulfan",": Carrion Crow x1"
"Species involved: Buzzard x2. Tested positive for: Carbofuran",": Buzzard x2"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species targeted: Birds of Prey, Corvidae. Species involved: poison bait (Chick Bait x13). Tested positive for: Mevinphos/Phosdrin",": poison bait (Chick Bait x13)"
"Species involved: Buzzard x2. Tested positive for: Carbofuran, Isofenphos",": Buzzard x2"
"Species Involved: Buzzard x2; poison bait (Rabbit Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x2; poison bait (Rabbit Bait x1)"
"Species involved: Osprey x1",": Osprey x1"
"Species involved: Osprey x1",": Osprey x1"
"Species Involved: Buzzard x2; poison bait (Pheasant Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x2; poison bait (Pheasant Bait x1)"
"Species targeted: Birds of Prey. Species involved: Raven x2. Tested positive for: Diazinon/Dimpylate",": Raven x2"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Golden Eagle x1, Raven x1. Tested positive for: Carbofuran",": Golden Eagle x1, Raven x1"
"Species Involved: Red Kite x1; poison bait (Grouse Bait x1). Tested positive for: Carbofuran","Species Involved: Red Kite x1; poison bait (Grouse Bait x1)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Hen Harrier x1",": Hen Harrier x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Grouse Bait x1). Tested positive for: Mevinphos/Phosdrin",": poison bait (Grouse Bait x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Aldicarb",": poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Meat). Tested positive for: Carbofuran, Carbosulfan",": poison bait (Meat)"
"Species involved: Short-eared Owl x1",": Short-eared Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species Involved: Buzzard x1; poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species targeted: Birds of Prey. Species involved: Bird x1",": Bird x1"
"Species Involved: Buzzard x2; poison bait (Rabbit Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x2; poison bait (Rabbit Bait x1)"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species Involved: Buzzard x1; poison bait (Pheasant Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Pheasant Bait x1)"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Little Owl x1",": Little Owl x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Strigidae (Owls) x1",": Strigidae (Owls) x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Goshawk x1. Tested positive for: Benfuracarb, Carbofuran, Carbosulfan",": Goshawk x1"
"Species involved: Buzzard x2. Tested positive for: Carbofuran",": Buzzard x2"
"Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown)). Tested positive for: Carbofuran",": poison bait (Pigeon Bait (Species Unknown))"
"Species Involved: Buzzard x2; poison bait (Meat). Tested positive for: Carbofuran","Species Involved: Buzzard x2; poison bait (Meat)"
"Species involved: Peregrine Falcon x1. Tested positive for: Alphachloralose, Carbofuran",": Peregrine Falcon x1"
"Species Involved: Buzzard x1; poison bait (Rabbit Bait x2). Tested positive for: Alphachloralose","Species Involved: Buzzard x1; poison bait (Rabbit Bait x2)"
"Species targeted: Birds of Prey. Species involved: poison bait (Pheasant Bait). Tested positive for: Aldicarb",": poison bait (Pheasant Bait)"
"Species targeted: Birds of Prey. Species involved: Dog x1. Tested positive for: Aldicarb, Aldicarb",": Dog x1"
"Species targeted: Birds of Prey. Species involved: Dog x1. Tested positive for: Aldicarb",": Dog x1"
"Species involved: Peregrine Falcon x1. Tested positive for: Aldicarb",": Peregrine Falcon x1"
"Species involved: Peregrine Falcon x1. Tested positive for: Aldicarb",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Tawny Owl x1",": Tawny Owl x1"
"Species Involved: Peregrine Falcon x2; poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran, Carbofuran, Carbofuran","Species Involved: Peregrine Falcon x2; poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species targeted: Birds of Prey. Species involved: Rat x1",": Rat x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species involved: Buzzard x1. Tested positive for: Aldicarb, Carbofuran",": Buzzard x1"
"Species involved: Peregrine Falcon x1. Tested positive for: Strychnine",": Peregrine Falcon x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Kestrel x1",": Kestrel x1"
"Species involved: Golden Eagle x1. Tested positive for: Carbofuran",": Golden Eagle x1"
"Species involved: Red Kite x1. Tested positive for: Bendiocarb",": Red Kite x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Bendiocarb, Carbofuran",": Red Kite x1"
"Species targeted: Birds of Prey. Species involved: Carrion Crow x1. Tested positive for: Alphachloralose",": Carrion Crow x1"
"Species involved: Eagle Owl x1",": Eagle Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Brodifacoum, Bromadiolone, Carbofuran, Difenacoum, Methiocarb",": Red Kite x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Kestrel x1",": Kestrel x1"
"Species targeted: Peregrine Falcon. Species involved: poison bait (Hen/Chicken Bait x1). Tested positive for: Bendiocarb",": poison bait (Hen/Chicken Bait x1)"
"Species involved: Goshawk x2, Buzzard x1. Tested positive for: Benfuracarb, Carbofuran",": Goshawk x2, Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Tawny Owl x1",": Tawny Owl x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Goshawk x2. Tested positive for: Benfuracarb, Carbofuran",": Goshawk x2"
"Species targeted: Birds of Prey. Species involved: Dog x3. Tested positive for: Strychnine",": Dog x3"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Peregrine Falcon x2. Tested positive for: Carbofuran",": Peregrine Falcon x2"
"Species involved: Marsh Harrier x1",": Marsh Harrier x1"
"Species Involved: Buzzard x2; poison bait (Pheasant Bait x2). Tested positive for: Alphachloralose","Species Involved: Buzzard x2; poison bait (Pheasant Bait x2)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Peregrine Falcon. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Peregrine Falcon x1. Tested positive for: Diazinon/Dimpylate",": Peregrine Falcon x1"
"Species involved: Red Kite x1. Tested positive for: Brodifacoum, Bendiocarb, Bromadiolone",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Aldicarb",": Red Kite x1"
"Species involved: Red Kite x2. Tested positive for: Fenthion",": Red Kite x2"
"Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Carbofuran",": Raven x1"
"Species involved: Kestrel x1",": Kestrel x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Grouse Bait x1). Tested positive for: Aldicarb",": poison bait (Grouse Bait x1)"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Peregrine Falcon x1. Tested positive for: Aldicarb, Carbofuran",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species Involved: Peregrine Falcon x1; poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Aldicarb","Species Involved: Peregrine Falcon x1; poison bait (Pigeon Bait (Species Unknown) x1)"
"Species Involved: Buzzard x2; poison bait (Pheasant Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x2; poison bait (Pheasant Bait x1)"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Red Kite x2. Tested positive for: Benfuracarb, Carbofuran",": Red Kite x2"
"Species targeted: Birds of Prey. Species involved: Carrion Crow x1. Tested positive for: Alphachloralose",": Carrion Crow x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose, Carbofuran, Isofenphos",": Buzzard x1"
"Species involved: Sparrowhawk x1, Buzzard x2. Tested positive for: Carbofuran, Carbofuran",": Sparrowhawk x1, Buzzard x2"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Bendiocarb",": Buzzard x1"
"Species involved: Buzzard x3",": Buzzard x3"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: Buzzard x2, Hedgehog x1. Tested positive for: Aldicarb",": Buzzard x2, Hedgehog x1"
"Species involved: Tawny Owl x1",": Tawny Owl x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Buzzard x1, Raven x1. Tested positive for: Carbofuran, Carbofuran, Chlorpyrifos, Chlorpyrifos, Diazinon/Dimpylate, Diazinon/Dimpylate",": Buzzard x1, Raven x1"
"Species targeted: Birds of Prey. Species involved: Magpie x1. Tested positive for: Alphachloralose",": Magpie x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Goshawk x2",": Goshawk x2"
"Species involved: Birds of Prey x1",": Birds of Prey x1"
"Species involved: Red Kite x1, Magpie x1, Rook x1. Tested positive for: Bendiocarb",": Red Kite x1, Magpie x1, Rook x1"
"Species involved: Short-eared Owl x1",": Short-eared Owl x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Short-eared Owl x1",": Short-eared Owl x1"
"Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Bendiocarb",": Raven x1"
"Species involved: Owls x1",": Owls x1"
"Species involved: Red Kite x1. Tested positive for: Fenthion",": Red Kite x1"
"Species targeted: Birds of Prey, Badger. Species involved: poison bait (Pigeon Bait (Species Unknown)). Tested positive for: Aldicarb, Bendiocarb",": poison bait (Pigeon Bait (Species Unknown))"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species involved: Peregrine Falcon x1. Tested positive for: Strychnine",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown) x2). Tested positive for: Bendiocarb",": poison bait (Pigeon Bait (Species Unknown) x2)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Merlin x1",": Merlin x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Barn Owl x6",": Barn Owl x6"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species Involved: Red Kite x1; poison bait (Rabbit Bait x1). Tested positive for: Bendiocarb, Carbofuran, Isofenphos","Species Involved: Red Kite x1; poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Carbofuran",": Raven x1"
"Species involved: Barn Owl x3 nest",": Barn Owl x3 nest"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Marsh Harrier x1",": Marsh Harrier x1"
"Species involved: Marsh Harrier x1. Tested positive for: Aldicarb",": Marsh Harrier x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species Involved: Buzzard x1; poison bait (Hare Bait x1). Tested positive for: Alphachloralose","Species Involved: Buzzard x1; poison bait (Hare Bait x1)"
"Species involved: Red Kite x1. Tested positive for: Fenthion",": Red Kite x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Sparrowhawk x1, Buzzard x1",": Sparrowhawk x1, Buzzard x1"
"Species involved: Golden Eagle x1. Tested positive for: Aldicarb, Bendiocarb",": Golden Eagle x1"
"Species involved: Goshawk x4 nest",": Goshawk x4 nest"
"Species involved: Golden Eagle x1",": Golden Eagle x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Golden Eagle x1",": Golden Eagle x1"
"Species targeted: Birds of Prey. Species involved: Jay x1",": Jay x1"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: Buzzard x2. Tested positive for: Alphachloralose",": Buzzard x2"
"Species involved: Hen Harrier x1",": Hen Harrier x1"
"Species involved: Hen Harrier x1",": Hen Harrier x1"
"Species involved: Tawny Owl x1",": Tawny Owl x1"
"Species involved: Peregrine Falcon x1. Tested positive for: Bendiocarb",": Peregrine Falcon x1"
"Species targeted: Peregrine Falcon. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Bendiocarb",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Duck Bait x1). Tested positive for: Carbofuran",": poison bait (Duck Bait x1)"
"Species Involved: Buzzard x1; poison bait (Pheasant Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Pheasant Bait x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Duck Bait x1). Tested positive for: Carbofuran",": poison bait (Duck Bait x1)"
"Species involved: Peregrine Falcon x1. Tested positive for: Bendiocarb",": Peregrine Falcon x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb",": poison bait (Pheasant Bait x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb",": poison bait (Pheasant Bait x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Pheasant Bait x1, Pheasant Bait x1). Tested positive for: Bendiocarb, Bendiocarb",": poison bait (Pheasant Bait x1, Pheasant Bait x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Golden Eagle x1",": Golden Eagle x1"
"Species involved: Red Kite x1. Tested positive for: Bendiocarb",": Red Kite x1"
"Species involved: Buzzard x1. Tested positive for: Aldicarb",": Buzzard x1"
"Species involved: Short-eared Owl x1",": Short-eared Owl x1"
"Species targeted: Birds of Prey. Species involved: Raven x2; poison bait (Meat x1). Tested positive for: Bendiocarb",": Raven x2; poison bait (Meat x1)"
"Species Involved: Buzzard x1; poison bait (Pheasant Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Pheasant Bait x1)"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x2). Tested positive for: Bendiocarb",": poison bait (Rabbit Bait x2)"
"Species targeted: Birds of Prey. Species involved: Cat x1. Tested positive for: Carbofuran, Isofenphos",": Cat x1"
"Species targeted: Birds of Prey. Species involved: Cat x1. Tested positive for: Carbofuran, Isofenphos",": Cat x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Goose x1). Tested positive for: Metaldehyde",": poison bait (Goose x1)"
"Species targeted: Birds of Prey. Species involved: Cat x2. Tested positive for: Carbofuran",": Cat x2"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x3",": Buzzard x3"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Kestrel x1",": Kestrel x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Golden Eagle x1",": Golden Eagle x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Tawny Owl x1",": Tawny Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
